Key,File,Type,english,german,japanese,schinese,latam,french,italian,polish,brazilian,russian,turkish,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
lblContextActionPinRecipe,UI,UI,Pin,Pin,"ピン留め","固定",Pin,Broche,Spillo,Pin,Pino,Pin,Pim,"釘子",Pin,"Пин","Kolík",Pin,"Καρφίτσα",Pin,Pin,Pin,Pin,"Kaištis",Pin,Pin,Pin,Pin,Pin,Stift
xuiUnpinRecipe,UI,UI,Unpin,Entfernen,"ピン留め解除","取下",Desenclavar,"Déplacer",Spillare,Unpin,Unpin,"Развернуть",Sabitleme,"拔掉插頭",Desenclavar,"Отключване на","Odpojení",Udtag,"Αποσυνδέστε το",Unpin,Irrota nasta,Unpin,Lepaskan pin,Atjunkite,Atvienojiet,Unpin,"Deșurubați","Odpojenie stránky",Odklop,Ta bort
xuiIncrement,UI,UI,Increment,Mehr,"作成数を増やす","增量",Incremento,"Incrémenter",Incremento,"Zwiększanie",Incremento,"Приращение","Artış","增量",Incremento,"Увеличаване на","Přírůstek","Forøgelse","Αύξηση",Inkrement,"Lisäys","Inkrementálás",Kenaikan,Padidinimas,"Palielinājums",Verhoging,"Creștere",Inkrement,"Povečanje","Ökning"
xuiDecrement,UI,UI,Decrement,Weniger,"作成数を減らす","减量","Disminución","Décroissance",Decremento,Spadek,"Diminuição","Уменьшение",Azalma,"遞减","Disminución","Намаление","Snížení","Nedsættelse","Μείωση","Vähendamine","Vähennys","Csökkentés",Penurunan,"Sumažinti","Samazināt",Vermindering,"Scădere","Zníženie","Zmanjšanje",Minskning
xuiPinGrab,UI,UI,Grab ingredients for pinned recipes,"Nimm Zutaten für gepinnte Rezepte","ピン留めしたレシピの材料を手に入れる","为钉住的食谱抓取材料",Coge los ingredientes de las recetas ancladas,"Récupérer les ingrédients des recettes épinglées",Prendere gli ingredienti per le ricette appuntate,"Pobieranie składników do przypiętych przepisów",Agarrar ingredientes para receitas com pinos,"Взять ингредиенты для рецептов, сохраненных в папке","Sabitlenmiş tarifler için malzemeleri alın","[為爲]釘住的食譜抓取材料",Coge los ingredientes de las recetas ancladas,"Вземане на съставки за прикачени рецепти","Uchopení ingrediencí pro připnuté recepty","Hent ingredienser til de opskrifter, du har pinned","Πιάστε τα συστατικά για τις συνταγές που έχετε καρφιτσώσει",Haara koostisosi pined retseptid,"Nappaa ainesosat pined reseptejä varten","Hozzávalók a kitűzött receptekhez",Ambil bahan-bahan untuk resep yang disematkan,"Griebkite prisegtų receptų ingredientus","Paņemiet sastāvdaļas piespraustajām receptēm","Ingrediënten pakken voor vastgepinde recepten","Luați ingredientele pentru rețetele fixate","Chyťte ingrediencie pre pripnuté recepty",Zgrabi sestavine za pripete recepte,"Hämta ingredienser till pinnade recept"
ttNoRecipesForItem,UI,UI,No recipes found for item,"Keine Rezepte gefunden für Artikel","アイテムに該当するレシピは見つかりませんでした。","没有找到项目的食谱","No se ha encontrado ninguna receta para el artículo","Aucune recette trouvée pour l'article","Nessuna ricetta trovata per l'articolo",Nie znaleziono receptur dla pozycji,Nenhuma receita encontrada para o item,"Не найдено рецептов для пункта","Öğe için tarif bulunamadı","没有找到項目的食譜","No se ha encontrado ninguna receta para el artículo","Не са намерени рецепти за елемента","Pro položku nebyly nalezeny žádné recepty",Ingen opskrifter fundet for emne,"Δεν βρέθηκαν συνταγές για το στοιχείο",Punkti jaoks ei leitud retsepte,"Ei reseptejä löydetty tuotteelle","Nem találtak recepteket az elemhez",Tidak ada resep yang ditemukan untuk item,Nerastas joks elemento receptas,Nav atrasts nevienas preces receptes,Geen recepten gevonden voor item,"Nu s-au găsit rețete pentru articolul","Pre položku neboli nájdené žiadne recepty",Ni bilo najdenih receptov za element,"Inga recept hittades för produkten"
ttManyRecipesForItem,UI,UI,"Multiple recipes found, pinning first","Mehrere Rezepte gefunden, zuerst pinnen","複数のレシピが見つかり、最初にピン留め","发现多份菜谱，先钉上","Varias recetas encontradas, fijar primero","Plusieurs recettes trouvées, à épingler d'abord","Sono state trovate più ricette, appuntate per prime","Znaleziono wiele przepisów, najpierw przypinamy","Múltiplas receitas encontradas, primeiro o pinning","Найдено несколько рецептов, закрепить первым","Birden fazla tarif bulundu, önce sabitliyorum","[發髮]現多份菜譜，先釘上","Varias recetas encontradas, fijar primero","Намерени са множество рецепти, които първо се прикрепят","Nalezeno více receptů, připínání jako první","Flere opskrifter fundet, pinning først","Πολλαπλές συνταγές βρέθηκαν, καρφώνοντας πρώτα","Leitud mitu retsepti, esmalt kinnitus","Useita reseptejä löydetty, kiinnitys ensin","Több receptet találtak, pinning első","Beberapa resep ditemukan, pinning terlebih dahulu","Rasti keli receptai, pirmiausia prisegti","Atrastas vairākas receptes, vispirms piespraužot","Meerdere recepten gevonden, eerst pinnen","Mai multe rețete găsite, fixând mai întâi","Nájdených viacero receptov, pripnutie ako prvé","Najdenih je bilo več receptov, ki jih najprej pripnete","Flera recept hittade, pinning först"
ocbPinRecipesTip_title,Journal Tip,,OCB Advanced Pin Recipes Mod,OCB Advanced Pin Recipes Mod,OCB Advanced Pin Recipes Mod,"OCB高级针剂配方模型",OCB Advanced Pin Recipes Mod,OCB Advanced Pin Recipes Mod,OCB Advanced Pin Recipes Mod,OCB Advanced Pin Recipes Mod,Mod OCB Advanced Pin Recipes,OCB Advanced Pin Recipes Mod,"OCB Gelişmiş Pin Tarifleri Modu","OCB高級針劑配方模型",OCB Advanced Pin Recipes Mod,"OCB Разширени пин рецепти Mod","OCB Pokročilé recepty na špendlíky Mod",OCB avancerede pin-opskrifter mod,"OCB Advanced Pin Συνταγές Mod",OCB Advanced Pin Recipes Mod,OCB Advanced Pin Reseptit Mod,OCB Advanced Pin Receptek Mod,Mod Resep Pin Lanjutan OCB,"OCB išplėstiniai smeigtukų receptai Mod",OCB Advanced Pin Receptes Mod,OCB Geavanceerde Pin Recepten Mod,OCB Advanced Pin Recipes Mod,"OCB Pokročilé recepty na špendlíky Mod",OCB Napredni Pin Recepti Mod,OCB Avancerade Pin Recept Mod
ocbPinRecipesTip,Journal Tip,,"Thanks for choosing OCB Pin Recipes Mod, brought to you by ocbMaurice.\n\nThis mod offers various (hidden) convenience and quality of life features when it comes to crafting and gathering:\n\n- Pin Multiple Recipes on to the side of your hud.\n- Use scroll wheel on pins to change queued amount.\n- Use hammer icon to build recipe in open workstation/backpack.\n- Use ""G"" Hot-Key to grab required ingredients from open chests.\n- Double click on ingredients in the pins to queue them up too.\n- Press ""Alt"" and use scroll wheel to select alternative recipes.\n\nNote: if you don't like the default ""G"" key-binding, it can be disabled in the xml config (look for grab_key_binding).","Vielen Dank, dass du dich für die OCB Pin Recipes Mod entschieden hast, die dir von ocbMaurice zur Verfügung gestellt wurde.\n\nDieser Mod bietet verschiedene (versteckte) Komfortfunktionen, wenn es um Crafting und Sammeln geht:\n\n- Pinnt mehrere Rezepte an der Seite eures Huds an.\n- Benutzt das Scrollrad auf den Pins, um die Menge in der Warteschlange zu ändern.\n- Benutzt das Hammersymbol, um ein Rezept in einer offenen Workstation/einem Rucksack zu bauen.\n- Benutze die ""G""-Taste, um die benötigten Zutaten aus offenen Truhen zu holen.\n- Doppelklicke auf die Zutaten in den Pins, um sie ebenfalls in die Warteschlange zu stellen.\n- Drücke ""Alt"" und benutze das Scrollrad, um alternative Rezepte auszuwählen.\n\nHinweis: Wenn dir die standardmäßige ""G""-Tastenbindung nicht gefällt, kann sie in der xml-Konfiguration deaktiviert werden (suche nach ""grab_key_binding"").","ocbMauriceがお届けするOCB Pin Recipes Modをご利用いただきありがとうございます。このModは、クラフトや採集の際に様々な（隠れた）便利機能を提供します。\(注)デフォルトの`G`キーバインドが気に入らない場合は、xmlコンフィグで無効にできます（grab_key_bindingを検索してください）。","谢谢你选择OCB Pin Recipes Mod，由ocbMaurice带来的。这个mod在制作和采集时提供了各种（隐藏的）便利功能：N- 在你的hud边上钉上多个配方。N- 使用针上的滚轮来改变排队的数量。N- 使用锤子图标在开放的工作站/背包中建立配方。\注意：如果你不喜欢默认的 ""G ""键绑定，可以在xml配置中禁用它（查找 grab_key_binding）。","Gracias por elegir OCB Pin Recetas Mod, traído a usted por ocbMaurice.Este mod ofrece varias características (ocultos) de conveniencia cuando se trata de la elaboración y la recolección: - Pin múltiples recetas en el lado de su hud.Use la rueda de desplazamiento en los pines para cambiar la cantidad en cola.\Nota: si no te gusta la tecla `G` por defecto, se puede desactivar en la configuración xml (busque grab_key_binding).","Merci d'avoir choisi OCB Pin Recipes Mod, présenté par ocbMaurice.\NCe mod offre diverses fonctionnalités pratiques (cachées) en ce qui concerne l'artisanat et la collecte:\N- Épinglez plusieurs recettes sur le côté de votre hud.\N- Utilisez la molette de défilement sur les épingles pour changer la quantité en attente.\N- Utilisez l'icône du marteau pour construire la recette dans le poste de travail ouvert / sac à dos.\N- Utilisez le raccourci clavier `G` pour attraper les ingrédients nécessaires dans les coffres ouverts.\N- Double cliquez sur les ingrédients dans les épingles pour les mettre en file d'attente.\N- Appuyez sur `Alt` et utilisez la molette de défilement pour sélectionner des recettes alternatives.\NNNote : si vous n'aimez pas le raccourci clavier `G` par défaut, il peut être désactivé dans la configuration xml (cherchez grab_key_binding).","Grazie per aver scelto OCB Pin Recipes Mod, portato a voi da ocbMaurice.\nQuesta mod offre varie funzionalità (nascoste) di convenienza quando si tratta di crafting e di raccolta:\n\n- Appuntate più ricette sul lato del vostro hud.\n- Usate la rotella di scorrimento sui pin per cambiare la quantità accodata.\n- Usate l'icona del martello per costruire la ricetta nella workstation/zaino aperta.\n- Usare il tasto di scelta rapida `G` per prendere gli ingredienti necessari dai forzieri aperti.\n- Fare doppio clic sugli ingredienti nei perni per mettere in coda anche quelli.\n- Premere `Alt` e usare la rotella di scorrimento per selezionare ricette alternative.\nNota: se non si gradisce il binding predefinito del tasto `G`, è possibile disabilitarlo nella configurazione xml (cercare grab_key_binding).","Dziękujemy za wybranie OCB Pin Recipes Mod, dostarczonego przez ocbMaurice.\n\nTen mod oferuje różne (ukryte) funkcje wygody, jeśli chodzi o tworzenie i zbieranie: \n\n- Przypnij wiele przepisów z boku swojego huda.\n- Użyj kółka przewijania na szpilkach, aby zmienić ilość w kolejce.\n- Użyj ikony młotka, aby zbudować przepis na otwartej stacji roboczej / plecaku.\n- Użyj skrótu klawiszowego `G`, aby pobrać wymagane składniki z otwartych skrzyń. \n- Kliknij dwukrotnie składniki w pinezkach, aby je również umieścić w kolejce. \n- Naciśnij klawisz `Alt` i użyj kółka przewijania, aby wybrać alternatywne przepisy. \nUwaga: jeśli nie podoba ci się domyślne powiązanie klawisza `G`, można je wyłączyć w konfiguracji xml (poszukaj grab_key_binding).","Obrigado por escolher o OCB Pin Recipes Mod, trazido a você por ocbMaurice.\n\nEste mod oferece vários recursos de conveniência (ocultos) quando se trata de criar e coletar:\n\n- Fixe várias receitas na lateral do seu hud.\n- Use a roda de rolagem nos pinos para alterar a quantidade enfileirada.\n- Use o ícone do martelo para criar a receita na estação de trabalho/mochila aberta.\n- Use a tecla de atalho `G` para pegar os ingredientes necessários em baús abertos.\n- Clique duas vezes nos ingredientes nos pinos para enfileirá-los também.\n- Pressione `Alt` e use a roda de rolagem para selecionar receitas alternativas.\n\nObservação: se você não gostar da vinculação de tecla `G` padrão, ela poderá ser desativada na configuração xml (procure por grab_key_binding).","Спасибо, что выбрали мод OCB Pin Recipes Mod, созданный ocbMaurice.\n\nЭтот мод предлагает различные (скрытые) удобные функции, когда дело доходит до ремесла и собирательства:\n\n- Прикрепите несколько рецептов сбоку от вашего hud.\n- Используйте колесо прокрутки на пинах, чтобы изменить количество в очереди.\n- Используйте значок молотка, чтобы собрать рецепт в открытом рабочем месте/рюкзаке.\n- Используйте горячую клавишу `G`, чтобы взять необходимые ингредиенты из открытых сундуков.\n- Дважды щелкните по ингредиентам в пинах, чтобы поставить их в очередь.\n- Нажмите `Alt` и используйте колесо прокрутки для выбора альтернативных рецептов.\n\nПримечание: если вам не нравится привязка клавиши `G` по умолчанию, она может быть отключена в xml-конфиге (ищите привязку grab_key_binding).","ocbMaurice tarafından sunulan OCB Pin Tarifler Modunu seçtiğiniz için teşekkür ederiz.\n\nBu mod, işçilik ve toplama söz konusu olduğunda çeşitli (gizli) kolaylık özellikleri sunar:\n\n- Birden Fazla Tarifi hud'unuzun yan tarafına sabitleyin.\n- Sıraya alınan miktarı değiştirmek için iğnelerdeki kaydırma tekerleğini kullanın.\n- Açık iş istasyonunda / sırt çantasında tarif oluşturmak için çekiç simgesini kullanın.\n- Açık sandıklardan gerekli malzemeleri almak için `G` Kısayol Tuşunu kullanın.\n- İğnelerdeki malzemelere çift tıklayarak onları da sıraya koyun.\n- Alternatif tarifleri seçmek için `Alt` tuşuna basın ve kaydırma tekerleğini kullanın.\n\nNot: Varsayılan `G` tuş bağlamasını beğenmezseniz, xml yapılandırmasında devre dışı bırakılabilir (grab_key_binding'i arayın).","謝謝你選擇OCB Pin Recipes Mod，由ocbMaurice[帶當噹]來的。這個mod在[制製]作和采集時提供[了瞭]各[种種]（隱藏的）便利功能：N- 在你的hud邊上釘上多個配方。N- 使用針上的滚輪來改變排隊的數量。N- 使用錘子圖標在開放的工作站/背包中建立配方。\注意：如果你不喜歡默認的 ""G ""鍵綁定，可以在xml配置中禁用它（查找 grab_key_binding）。","Gracias por elegir OCB Pin Recetas Mod, traído a usted por ocbMaurice.Este mod ofrece varias características (ocultos) de conveniencia cuando se trata de la elaboración y la recolección: - Pin múltiples recetas en el lado de su hud.Use la rueda de desplazamiento en los pines para cambiar la cantidad en cola.\Nota: si no te gusta la tecla `G` por defecto, se puede desactivar en la configuración xml (busque grab_key_binding).","Благодарим ви, че избрахте OCB Pin Recipes Mod, представен ви от ocbMaurice.\n\nТози мод предлага различни (скрити) функции за удобство, когато става въпрос за изработка и събиране:\n\n- Pin Multiple Recipes on to the side of your hud.\n- Използвайте колелцето за превъртане на щифтове, за да промените количеството на опашката.\n- Използвайте иконата на чук, за да изградите рецепта в отворена работна станция/раница.\n- Използвайте горещия клавиш `G`, за да вземете необходимите съставки от отворените сандъци.\n- Кликнете два пъти върху съставките в щифтовете, за да ги поставите и на опашката.\n- Натиснете `Alt` и използвайте колелцето за превъртане, за да изберете алтернативни рецепти.\n\nЗабележка: ако не харесвате свързването на клавиша `G` по подразбиране, то може да бъде деактивирано в xml конфигурацията (потърсете grab_key_binding).","Děkujeme, že jste si vybrali OCB Pin Recipes Mod, který vám přináší ocbMaurice.\n\nTento mod nabízí různé (skryté) funkce pro usnadnění craftingu a shromažďování:\n\n- Připněte si více receptů na stranu hud.\n- Pomocí kolečka na kolíčcích můžete měnit množství ve frontě.\n- Použijte ikonu kladiva pro vytvoření receptu na otevřeném pracovišti/batohu.\n- Použijte klávesovou zkratku `G` pro uchopení požadovaných ingrediencí z otevřených truhel.\n- Dvojitým kliknutím na ingredience na kolíčcích je také zařadíte do fronty.\n- Stiskněte `Alt` a použijte kolečko pro výběr alternativních receptů.\n\nPoznámka: pokud se vám nelíbí výchozí vazba klávesy `G`, lze ji vypnout v konfiguraci xml (hledejte grab_key_binding).","Tak, fordi du valgte OCB Pin Recipes Mod, bragt til dig af ocbMaurice.\n\nDenne mod tilbyder forskellige (skjulte) bekvemmelighedsfunktioner, når det kommer til crafting og indsamling:\n\n- Sæt flere opskrifter fast på siden af din hud.\n- Brug rullehjulet på stifterne til at ændre mængden i kø.\n- Brug hammerikonet til at bygge en opskrift i en åben arbejdsstation/rygsæk.\n- Brug genvejstasten `G` til at hente de nødvendige ingredienser fra åbne kister.\n- Dobbeltklik på ingredienserne i pindene for også at sætte dem i kø.\n- Tryk på `Alt`, og brug rullehjulet til at vælge alternative opskrifter.\n\nNote: Hvis du ikke kan lide standardtastbindingen `G`, kan den deaktiveres i xml-konfigurationen (se efter grab_key_binding).","Σας ευχαριστούμε που επιλέξατε το OCB Pin Recipes Mod, που σας έφερε ο ocbMaurice.\n\nΑυτό το mod προσφέρει διάφορα (κρυφά) χαρακτηριστικά ευκολίας όταν πρόκειται για crafting και gathering:\n\n- Pin Multiple Recipes στο πλάι του hud σας.\n- Χρησιμοποιήστε τον τροχό κύλισης στις καρφίτσες για να αλλάξετε την ποσότητα στην ουρά.\n- Χρησιμοποιήστε το εικονίδιο του σφυριού για να χτίσετε συνταγή σε ανοιχτό σταθμό εργασίας/ σακίδιο.\n- Χρησιμοποιήστε το πλήκτρο ""G"" για να αρπάξετε τα απαιτούμενα συστατικά από τα ανοιχτά σεντούκια.\n- Κάντε διπλό κλικ στα συστατικά στις καρφίτσες για να τα βάλετε και αυτά στην ουρά.\n- Πατήστε το πλήκτρο ""Alt"" και χρησιμοποιήστε τον τροχό κύλισης για να επιλέξετε εναλλακτικές συνταγές.\n\nΣημείωση: αν δεν σας αρέσει η προεπιλεγμένη δέσμευση του πλήκτρου ""G"", μπορεί να απενεργοποιηθεί στη ρύθμιση παραμέτρων xml (αναζητήστε το grab_key_binding).","Täname, et valisid OCB Pin Recipes Mod, mille on toonud sulle ocbMaurice.\n\nSee mod pakub erinevaid (varjatud) mugavuse funktsioone, kui tegemist on käsitöö ja kogumine:\n\n- Pin mitu Retseptid küljel oma hud.\n- Kasutage kerimisratast pins muuta järjekorras summa.\n- Kasutage vasara ikooni ehitada retsept avatud tööjaama / seljakott.\n- Kasutage `G` kiirklahvi, et haarata vajalikke koostisosi avatud kirstudest.\n- Topeltklõpsake nööpnõelates olevatel koostisosadel, et ka need järjekorda panna.\n- Vajutage `Alt` ja kasutage kerimisratast alternatiivsete retseptide valimiseks.\n\n Märkus: kui teile ei meeldi vaikimisi `G` klahvi sidumine, saab selle xml-konfiguratsioonis välja lülitada (otsige grab_key_binding).","Kiitos, että valitsit OCB Pin Recipes Modin, jonka on tuonut sinulle ocbMaurice.\n\nTämä modi tarjoaa erilaisia (piilotettuja) mukavuusominaisuuksia käsityön ja keräilyn suhteen:\n\n- Pin Multiple Recipes hudisi sivulle.\n- Käytä vierityspyörää nastojen kohdalla muuttaaksesi jonossa olevaa määrää.\n- Käytä vasara-kuvaketta rakentaaksesi reseptin avoimeen työpisteeseen/reppuun.\n- Käytä `G`-pikanäppäintä napataksesi tarvittavat ainekset avoimista lipastoista.\n- Kaksoisnapsauta nastoissa olevia aineksia jonottaaksesi myös ne.\n- Paina `Alt` ja käytä vierityspyörää valitaksesi vaihtoehtoisia reseptejä.\n\nHuomaa: jos et pidä oletusarvoisesta `G`-näppäinsidonnaisuudesta, sen voi poistaa käytöstä xml-konfiguraatiossa (etsi grab_key_binding).","Köszönjük, hogy az OCB Pin Receptek Modot választotta, amelyet ocbMaurice.\n\n Ez a mod különböző (rejtett) kényelmi funkciókat kínál a kézművesség és a gyűjtés során:\n\n- Több receptet tűzzön a hud oldalára.\n- Használja a görgetőkereket a csapokon a sorba állított mennyiség megváltoztatásához.\n- A kalapács ikon segítségével építsen receptet a nyitott munkaállomáson/ hátizsákban.\n- Használd a `G` gyorsbillentyűt a szükséges hozzávalók megragadásához a nyitott ládákból.\n- Kattints duplán a csapokon lévő hozzávalókra, hogy azokat is sorba állítsd.\n- Nyomd meg az `Alt` billentyűt és használd a görgetőkereket az alternatív receptek kiválasztásához.\n\n\nMegjegyzés: ha nem tetszik az alapértelmezett `G` billentyűkötés, az xml konfigurációban kikapcsolható (keresd a grab_key_binding-et).","Terima kasih telah memilih OCB Pin Recipes Mod, dipersembahkan oleh ocbMaurice.\n\nMod ini menawarkan berbagai fitur kenyamanan (tersembunyi) saat membuat dan mengumpulkan:\n\n- Sematkan Beberapa Resep ke sisi hud Anda.\n- Gunakan roda gulir pada pin untuk mengubah jumlah antrean.\n- Gunakan ikon palu untuk membuat resep di workstation / ransel terbuka.\n- Gunakan `G` Hot-Key untuk mengambil bahan yang diperlukan dari peti yang terbuka.\n- Klik dua kali pada bahan di pin untuk mengantri juga.\n- Tekan `Alt` dan gunakan roda gulir untuk memilih resep alternatif.\n\nCatatan: jika Anda tidak menyukai pengikatan kunci `G` default, itu dapat dinonaktifkan di konfigurasi xml (cari grab_key_binding).","Ačiū, kad pasirinkote OCB Prisegti Receptai Mod, atnešė jums ocbMaurice.\n\nŠis mod siūlo įvairių (paslėptas) patogumo funkcijų, kai kalbama apie amatų ir rinkimo:\n\n- Prisegti kelis receptus ant jūsų Hud pusėje.\n- Naudokite slinkimo ratuką ant smeigtukai pakeisti eilėje kiekį.\n- Naudokite plaktuko piktogramą sukurti receptą į atvirą darbo vietą / kuprinė.\n- Naudokite `G` karštąjį klavišą, kad paimtumėte reikiamus ingredientus iš atvirų skrynių.\n- Dukart spustelėkite ant ingredientų smeigtukuose, kad jie taip pat atsidurtų eilėje.\n- Paspauskite `Alt` ir slinkimo ratuku pasirinkite alternatyvius receptus.\n\nPastaba: jei jums nepatinka numatytasis `G` klavišo susiejimas, jį galima išjungti xml konfigūracijoje (ieškokite grab_key_binding).","Paldies, ka izvēlējāties OCB Pin Receptes Mod, ko ocbMaurice.\n\nŠis mod piedāvā dažādas (slēptās) ērtības funkcijas, kad runa ir par amatniecības un vākšanas:\n\n- Pin Vairāki Receptes uz jūsu Hud pusē.\n- Izmantojiet ritentiņu uz tapas, lai mainītu rindā summu.\n- Izmantojiet āmuru ikonu, lai izveidotu recepti atvērtā darbstacijā / mugursoma.\n- Izmantojiet `G` karsto taustiņu, lai paņemtu nepieciešamās sastāvdaļas no atvērtām lādītēm.\n- Divreiz noklikšķiniet uz sastāvdaļām piespraudēs, lai arī tās sakārtotu rindā.\n- Nospiediet `Alt` un izmantojiet ritentiņu, lai izvēlētos alternatīvas receptes.\n\nPiezīme: ja jums nepatīk noklusējuma `G` taustiņu piesaistīšana, to var atspējot xml konfigurācijā (meklējiet grab_key_binding).","Bedankt voor het kiezen van OCB Pin Recepten Mod, gebracht door ocbMaurice.\Deze mod biedt verschillende (verborgen) gemakken als het gaat om knutselen en verzamelen:\n-Pin Meerdere Recepten aan de zijkant van je hud.\n- Gebruik het scrollwieltje op de pins om de hoeveelheid in de wachtrij te veranderen.\n- Gebruik het hamer icoon om een recept te maken in een open werkstation/rugzak.\Gebruik de sneltoets `G` om de benodigde ingrediënten uit open kisten te pakken.Dubbelklik op ingrediënten in de pins om ze ook in de wachtrij te zetten.Druk op `Alt` en gebruik het scrollwiel om alternatieve recepten te selecteren.Let op: als je de standaard `G` toets-binding niet prettig vindt, kun je deze uitschakelen in de xml-configuratie (zoek naar grab_key_binding).","Vă mulțumim pentru că ați ales OCB Pin Recipes Mod, adus de ocbMaurice.\n\nAcest mod oferă diverse caracteristici (ascunse) de confort și calitate a vieții atunci când vine vorba de crafting și colectare:\n\n- Pin Multiple Recipes pe partea laterală a hud-ului.\n- Utilizați rotița de defilare pe ace pentru a schimba cantitatea de coadă.\n- Utilizați pictograma ciocan pentru a construi rețeta în stația de lucru deschisă / rucsac.\n- Folosiți tasta rapidă ""G"" pentru a lua ingredientele necesare din cuferele deschise.\n- Faceți dublu clic pe ingredientele din ace pentru a le pune și pe acestea la coadă.\n- Apăsați ""Alt"" și folosiți rotița de defilare pentru a selecta rețete alternative.\n\nNota: dacă nu vă place legătura implicită a tastei ""G"", aceasta poate fi dezactivată în configurația xml (căutați grab_key_binding).","Ďakujeme, že ste si vybrali OCB Pin Recepty Mod, ktorý vám priniesol ocbMaurice.\n\nTento mod ponúka rôzne (skryté) pohodlie a kvalitu života funkcie, pokiaľ ide o crafting a zhromažďovanie:\n\n- Pripnúť viac receptov na strane vášho hud.\n- Pomocou kolieska na kolíky zmeniť frontu množstvo.\n- Pomocou ikony kladiva vytvoriť recept v otvorenej pracovnej stanice / batoh.\n- Použite klávesovú skratku ""G"" na uchopenie požadovaných ingrediencií z otvorených truhlíc.\n- Dvakrát kliknite na ingrediencie v kolíkoch, aby ste ich tiež zaradili do fronty.\n- Stlačte ""Alt"" a použite rolovacie koliesko na výber alternatívnych receptov.\n\nPoznámka: ak sa vám nepáči predvolená väzba klávesu ""G"", môžete ju vypnúť v konfigurácii xml (hľadajte grab_key_binding).","Hvala za izbiro OCB Pin Recepti Mod, ki vam ga ocbMaurice.\n\nTa mod ponuja različne (skrite) udobje in kakovost življenja funkcije, ko gre za izdelavo in zbiranje:\n\n- Pin Več Recepti na strani vašega Hud.\n- Uporabite kolešček za pomikanje na pinov za spremembo čakalne vrste znesek.\n- Uporabite ikono kladiva zgraditi recept v odprtem delovnem mestu / nahrbtnik.\n- Uporabite vročo tipko ""G"" za zajemanje potrebnih sestavin iz odprtih skrinj.\n- Dvakrat kliknite na sestavine v zatičih, da jih tudi postavite v vrsto.\n- Pritisnite ""Alt"" in uporabite kolešček za pomikanje za izbiro alternativnih receptov.\n\nPomnik: če vam privzeta vezava tipke ""G"" ni všeč, jo lahko v konfiguraciji xml onemogočite (poiščite ""grab_key_binding"").","Tack för att du väljer OCB Pin Recipes Mod, som ocbMaurice har tagit med till dig.\n\nDen här modden erbjuder olika (dolda) bekvämlighets- och livskvalitetsfunktioner när det gäller att tillverka och samla:\n\n- Fäst flera recept på sidan av din hud.\n- Använd rullhjulet på stiften för att ändra mängden i kö.\n- Använd hammarikonen för att bygga recept i öppen arbetsstation/ryggsäck.\n- Använd snabbtangenten ""G"" för att hämta nödvändiga ingredienser från öppna kistor.\n- Dubbelklicka på ingredienser i stiften för att köa upp dem också.\n- Tryck på ""Alt"" och använd skrollhjulet för att välja alternativa recept.\n\nNote: Om du inte gillar den förvalda ""G""-tangentbindningen kan du inaktivera den i xml-konfigurationen (leta efter grab_key_binding)."
igcoPinGrab,UI,UI,Grab Ingredients,Zutaten greifen,"原材料をつかむ","抓取成分",Ingredientes,"Ingrédients à saisir",Afferrare gli ingredienti,"Chwyć składniki",Ingredientes do Grab,"Захватите ингредиенты",Kapmak Malzemeler,"抓取成分",Ingredientes,"Вземете съставките",Uchopte ingredience,Tag fat i ingredienserne,"Συστατικά αρπαγής",Haara koostisained,Tartu ainesosiin,"Fogd meg az összetevőket",Ambil Bahan,Griebkite ingredientus,"Paķert sastāvdaļas","Ingrediënten pakken","Prindeți ingredientele","Chyťte ingrediencie",Zgrabi sestavine,Ta med ingredienser
